NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EL43,20.0,17.9,19.1,14.7,16.9,20.6,20.9,15.5,18.6,26.7,35.4,46.5,64.1,71.2,66.9,66.9,64.3,50.4,38.1,33.4,48.4,44.9
EL51,23.1,24.4,25.6,26.6,35.1,31.5,29.1,25.8,22.8,29.1,38.3,52.1,58.6,68.5,62.2,60.3,59.2,49.8,40.4,41.3,42.3,45.6
EL52,85.5,87.2,86.7,82.2,97.3,92.4,79.3,75.9,70.1,83.1,113.1,160.0,209.4,239.0,227.1,210.7,200.7,186.0,167.8,157.0,144.4,123.8
EL53,17.9,20.0,16.9,19.4,20.0,21.6,16.9,14.2,14.9,15.1,18.2,27.1,33.9,35.5,31.4,36.0,36.9,34.7,31.9,28.3,21.3,22.1
EL54,15.2,17.4,16.7,16.5,16.9,16.5,14.5,14.7,14.7,17.0,19.2,23.8,32.7,39.1,38.0,34.2,34.3,34.5,27.4,22.1,23.6,18.5
EL61,40.7,38.3,34.2,33.3,33.1,31.5,26.8,25.6,27.7,30.9,40.3,54.1,72.3,80.0,79.4,84.7,79.5,65.0,56.7,57.5,50.9,51.3
EL62,5.2,6.8,6.2,9.6,9.4,8.0,10.3,8.1,8.0,9.2,14.0,13.3,13.9,16.6,19.4,17.1,14.4,17.9,14.8,10.9,13.6,11.0
EL63,31.8,30.4,31.3,27.9,35.4,31.0,27.9,28.9,29.0,28.8,35.5,50.9,72.8,80.2,81.1,82.1,87.4,77.3,69.2,68.2,59.7,48.7
EL64,33.5,32.0,22.9,22.8,28.6,26.5,22.3,23.1,20.5,25.0,30.4,46.4,66.3,67.1,63.5,63.1,59.4,49.5,44.6,40.4,45.0,39.8
EL65,25.8,20.2,18.1,20.4,20.4,21.3,19.1,18.9,18.1,20.5,24.4,34.1,46.9,53.8,57.5,55.4,46.7,41.5,34.9,28.8,27.4,30.8
ES11,174.1,131.5,140.9,144.5,176.9,124.2,106.1,97.8,113.6,164.1,199.9,227.2,270.5,284.6,275.8,243.4,215.4,195.6,165.9,145.9,146.7,141.8
ES12,73.2,32.3,42.5,46.2,45.1,45.6,43.1,40.1,42.4,66.1,78.0,87.2,106.9,117.5,100.8,88.9,82.6,62.8,61.7,64.0,62.7,55.1
ES13,29.3,18.0,22.8,25.4,26.7,22.4,17.4,16.6,20.4,34.3,38.6,43.4,50.7,57.2,54.4,48.9,41.1,37.2,28.8,27.9,32.4,31.0
ES21,114.5,92.9,90.5,93.2,98.7,77.5,76.7,66.4,71.7,121.7,115.1,134.7,166.8,173.6,168.9,151.9,129.9,115.3,102.3,94.3,96.8,108.6
ES22,11.4,11.1,13.6,14.8,14.9,16.6,16.2,14.6,21.7,34.4,37.8,41.6,51.6,56.4,48.9,42.4,38.1,31.8,31.4,25.9,31.1,34.3
ES23,9.2,4.7,9.8,6.7,7.1,9.7,9.4,9.0,12.8,20.5,22.7,27.9,32.8,31.2,28.5,23.7,20.8,18.3,16.0,15.6,16.7,18.7
ES24,36.3,25.6,31.0,37.8,31.7,36.2,34.3,34.9,49.2,87.7,99.0,113.3,125.4,140.2,131.3,105.3,95.8,74.6,68.3,65.5,75.5,67.8
ES30,286.0,189.3,190.1,200.0,203.0,214.1,203.4,208.2,295.0,480.7,553.6,564.4,641.1,669.5,626.2,578.3,528.8,447.6,416.3,368.2,434.9,416.4
ES41,139.8,96.3,109.8,117.9,117.0,98.4,92.7,83.1,114.4,165.8,189.2,201.8,235.8,254.7,241.1,209.8,181.4,159.2,135.3,130.4,132.3,128.2
ES42,84.9,65.4,68.1,77.3,69.6,78.6,78.6,71.8,113.8,187.5,212.7,235.7,291.3,304.8,290.9,260.7,231.6,205.1,178.6,159.6,171.5,157.5
ES43,106.3,56.4,78.5,72.0,80.3,71.9,61.3,61.9,74.4,101.1,114.7,125.1,167.8,174.0,150.1,146.4,138.0,129.9,117.3,107.2,106.0,99.7
ES51,265.3,261.7,305.8,356.4,342.6,250.4,242.1,247.5,349.6,636.9,696.7,760.0,880.7,893.2,773.3,703.1,593.6,507.2,436.4,426.4,482.3,462.1
ES52,209.3,182.4,223.9,238.9,223.5,201.8,196.8,213.5,301.9,525.1,571.2,596.4,673.4,690.5,626.9,552.6,501.6,442.0,377.3,342.9,390.2,397.8
ES53,21.5,25.2,29.5,44.5,44.5,36.1,34.1,39.3,58.1,105.7,120.5,130.1,142.3,136.2,120.7,106.7,85.6,76.3,72.9,76.0,101.7,89.9
ES61,728.4,530.9,591.7,581.7,578.3,481.1,453.4,473.5,681.3,990.2,1105.0,1206.5,1389.7,1460.6,1404.6,1275.0,1151.1,1009.7,904.6,838.6,866.2,881.4
ES62,57.7,48.0,61.4,57.3,66.8,50.6,51.9,52.0,88.9,145.9,166.7,181.3,201.2,210.1,192.0,173.0,138.6,127.9,119.2,105.6,117.2,110.2
ES63,8.4,,,2.7,3.8,6.5,6.6,6.5,5.8,6.5,8.5,10.2,14.3,13.7,12.1,10.3,9.3,8.2,11.2,9.9,9.1,11.1
ES64,5.4,,,,4.7,3.7,3.7,5.3,5.9,7.1,7.1,7.6,9.4,11.9,9.6,12.1,11.2,10.3,10.1,10.3,9.3,10.1
ES70,107.8,81.2,91.4,97.7,112.5,108.1,113.1,104.0,175.1,272.4,303.1,318.3,359.2,371.4,354.3,323.6,286.7,257.9,225.3,233.5,248.5,254.6
FR10,474.0,406.8,446.2,455.8,470.9,473.5,471.2,438.3,391.4,459.9,483.2,466.4,464.2,521.7,560.9,557.2,540.4,514.6,521.5,470.3,485.4,485.3
FRB0,86.3,79.8,93.2,60.7,81.4,78.7,79.2,65.3,60.9,76.2,80.7,93.5,123.6,118.1,105.9,117.9,109.4,94.6,92.9,91.3,98.1,81.2
FRC1,63.9,44.4,44.6,45.2,63.3,50.6,59.5,48.1,45.7,57.5,64.1,63.8,62.8,75.7,75.7,62.1,67.5,75.2,64.0,52.9,53.9,50.0
FRC2,39.4,25.8,45.2,40.2,40.7,34.2,38.5,36.0,34.6,46.3,42.9,41.1,47.8,49.3,50.9,48.5,44.1,36.4,37.9,41.8,28.4,35.4
FRD1,42.5,38.7,43.1,47.7,53.2,47.7,44.3,34.7,42.6,45.6,51.2,57.1,56.6,57.8,53.0,52.8,54.6,50.3,52.0,51.0,36.7,39.7
FRD2,92.3,69.3,76.6,67.5,71.9,64.0,71.0,69.6,68.6,82.6,77.3,72.9,88.9,93.7,96.9,86.6,92.8,91.0,73.4,78.8,66.8,61.2
FRE1,280.1,230.4,224.5,169.5,210.3,220.8,204.3,192.3,186.1,222.3,214.8,211.4,227.4,257.9,238.2,234.6,226.8,219.3,203.0,186.7,150.7,153.5
FRE2,91.4,76.1,70.6,79.1,85.5,84.5,86.5,85.2,62.4,87.6,97.0,76.9,89.5,94.6,97.6,91.2,95.7,85.2,76.8,74.7,68.9,80.1
FRF1,52.3,50.2,55.0,58.8,69.1,59.7,54.7,50.7,52.4,71.5,71.7,66.7,75.3,86.8,89.1,81.8,96.6,78.1,72.8,67.6,64.5,63.5
FRF2,60.6,55.6,54.8,49.2,56.4,58.1,41.2,48.7,44.7,56.1,56.1,59.6,61.9,59.6,65.4,74.8,62.7,53.3,47.3,48.9,60.0,48.5
FRF3,100.1,84.4,86.8,87.4,120.1,104.1,97.7,77.8,84.6,117.2,99.7,106.3,121.6,125.0,121.8,125.7,119.5,113.9,100.0,81.0,85.2,84.6
FRG0,139.8,105.6,104.5,112.2,122.2,110.3,106.4,92.5,94.7,120.6,137.9,136.1,138.5,146.0,142.1,154.1,151.6,120.2,129.5,126.6,115.7,102.3
FRH0,94.0,82.2,91.0,90.5,78.9,87.2,98.5,89.4,71.1,78.6,94.6,98.5,113.3,115.6,107.3,114.9,126.0,106.0,98.8,100.8,94.8,87.3
FRI1,143.2,141.9,126.1,113.1,138.5,96.1,102.5,97.8,99.4,117.8,116.5,128.2,136.8,132.3,134.0,147.3,153.0,153.3,143.2,141.2,111.6,120.0
FRI2,23.3,21.1,18.8,,,20.7,18.6,21.4,17.8,20.7,22.2,24.1,21.0,22.0,30.0,28.9,23.8,20.6,22.0,21.3,20.6,18.6
