NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IE06,63345.46,70699.01,78351.67,85835.33,92922.31,100608.43,109818.2,118323.33,115781.43,102079.07,99699.76,104432.71,110796.59,112526.65,117330.42,132633.49,140324.22,163106.32,186775.69,202085.77,211709.39,238430.44
EL30,64920.7,68948.32,75416.85,82494.25,90814.66,94038.98,104333.63,112007.91,116716.94,116000.89,108739.12,98648.6,90148.11,86155.82,84639.88,83616.78,83007.41,84535.17,85687.83,87940.81,79592.43,86884.03
EL41,1920.06,2030.94,2116.46,2490.15,2637.97,2797.22,3040.6,3304.37,3513.52,3395.47,3174.77,2896.87,2693.03,2568.12,2558.09,2495.14,2433.03,2433.49,2466.8,2528.4,2249.7,2433.7
EL42,4859.57,5071.12,5158.33,5783.96,6299.07,6661.94,7178.06,7683.25,8183.03,7599.14,7211.32,6564.38,6080.02,6080.9,6172.65,6087.6,5854.81,5920.14,6133.85,6355.74,4938.05,5767
EL43,6983.48,7550.65,8079.93,8800.73,9678.84,9867.01,10692.91,11200.47,11807.52,11509.23,10863.07,9588.22,8731.83,8607.98,8821.47,8825.78,8605.56,8824.38,9013.24,9251.09,7853.56,8878.93
EL51,5950.78,6280.44,6685.58,7206.05,7610.56,7867.8,8141.33,8906.26,9450.34,9306.01,9160.13,8011.3,7472.14,6982.7,6813.44,6786.1,6807.55,6806.94,6888.03,6941.79,6399.1,7116.67
EL52,20069.98,21505.2,22602.81,24513.54,26694.29,26890.05,29549.75,31951.55,33304.45,32439.07,30135.73,27534.82,25475.58,23965.76,23419.02,23816.97,23801.44,24036.54,24600.59,25044.75,22741.52,24916.48
EL53,3285.84,3533.09,3893.33,4324.14,4565.83,4760.04,4925.56,4978.84,4801.57,5038.6,5093.52,4980.49,5345.34,5049.38,4943.59,4705.43,4312.51,4297.51,4159.13,3907.71,3403.32,3692.48
EL54,3437.24,3638.69,3966.91,4303.47,4422.34,4513.69,4788.91,5028.61,5157.9,5024.51,4945.77,4548.25,4153.97,4044.52,3985.2,3928.76,3892.35,3870.26,3935.39,3958.59,3597.92,3951.36
EL61,7549.01,8083.25,8681,9883.07,10396.55,10229.77,11213.68,11752.2,12186.27,11814.34,10764.57,9717.56,9297.96,8942.47,8893.53,8987.69,8842.57,8918.03,9080.51,9340.78,8602.83,9470.44
EL62,2718.55,2938.18,2975.7,3400.9,3609.42,3789.2,4029.81,4285.3,4522.18,4200.25,3972.27,3421.85,3208.91,3078.63,3152.7,3085.6,3034.09,3049.68,3154.64,3236.15,2534.01,2927.81
EL63,6971.69,7419.24,8059.57,8772.07,9472.86,9724.62,10728.07,11243.68,11364.73,10889.66,10523.64,9367.1,8770.14,8232.21,8088.9,8033.85,7832.28,7838.24,7947.71,8047.95,7319.77,8008.58
