NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CZ05,5863.978079866685,6563.789162296625,7416.957255324126,7314.343611894699,7881.596627977084,8948.103935529343,10008.330998538362,10982.845026336603,12434.694583479133,11437.49605183976,12035.364863617988,12707.89104779832,12254.89721758114,12125.923420735024,12083.693162243952,12949.602903611794,13626.935614105276,15100.975985182897,16250.729781575215,17245.37274070766,16756.051881457104,18305.359124146136
CZ06,5722.102219668777,6582.744381944031,7526.591374645357,7681.019372342209,8228.522930341065,9332.425914,10535.612788740416,11878.385910967163,13918.078804628156,12745.314612983853,13336.790285605262,14166.320578182582,14080.48264561299,14052.523518370908,13610.341566649031,14567.350548032147,15039.34698723657,16385.762464420382,17862.513540682325,19094.959695121986,18857.76371164213,20819.910753492124
CZ07,5240.822183971524,5885.614351,6644.160247430418,6769.744181822898,7314.293186743211,8227.366018,9270.002322653203,10258.002738207777,12099.155998041668,11149.534677517013,11705.087521169888,12431.696901108682,12208.813783531052,11997.458585720093,12081.012223399079,12879.967763388513,13483.033375594765,14840.956519382436,15904.529884874128,17091.02996265467,16442.708118922747,18393.01580362558
CZ08,5030.388400277819,5741.727345,6504.521099787868,6587.274675276089,7447.813285893405,8863.801549692624,9811.120074813469,10961.555011666449,12806.29647864436,11435.273781338672,12215.222050782133,13121.944108106794,12996.92104666536,12260.570258323402,12373.272266563652,13111.977241893574,13728.879075521447,14798.959234766451,16183.91788278494,16502.58996309313,15460.580622537043,17559.47914554181
DK01,43075.764082530346,44240.86796350512,44193.781167422065,44883.588017803435,47097.002878020576,49965.40536620105,50340.707986505586,51343.01594196789,53463.05348381511,51729.77557999982,55586.20603,54895.39463347666,56722.88810904537,58118.89602486738,60280.23813810982,62847.79073877695,63831.829659943636,66493.27986438008,67975.48526630599,68733.47236432221,69400.43000547664,79148.64771622201
DK02,23369.504494169054,24461.231758262682,25538.740672024083,26053.588137242143,27067.924061591737,27866.122936635868,29596.520098243298,29963.66946936595,29602.380687968543,28538.45104791221,29915.289971288043,30185.395047105078,31141.21776681212,31177.82740191509,31813.570279383785,33629.43643,33830.60281643845,35042.38168621097,35862.861426737436,37092.26783,36996.27041687018,39363.192027085024
DK03,29906.63745732138,30794.44064164757,31943.744150269034,32432.38482832322,33416.09280102489,33876.95260615945,36606.997832902016,38381.15441282147,39501.297022832456,37758.06119531504,39215.39777901268,40207.21172425741,40821.74767884582,41746.026989751284,42804.72744902533,43618.51926802728,44697.07947877898,45550.93392834844,46237.13202316911,47508.125243185095,47459.196062480325,51021.187708089186
DK04,31210.578147550725,32352.226027252793,33619.897589144144,33623.76460392327,34631.74790643974,35192.567792835995,38203.96190289165,39365.429173849705,40340.659687108186,39052.70522836635,39183.14064296753,40445.40294831137,40680.87333679645,41109.08362213264,42014.57021,42214.74176573767,45532.52934913466,46879.79249424767,47464.50202345318,49143.15222938521,50061.439751496604,53297.936710989394
DK05,29235.78255234402,30113.462246454306,31752.56775747139,32242.75309782903,32283.29621691567,33029.713243179256,35648.52596675866,37144.76612,37814.97100229943,36399.50733400515,36861.797566715206,37300.89388423139,38521.644976861906,38953.02547770701,39376.704867164495,40529.253456727405,41653.88839263603,43342.283364689654,43612.640626803455,44390.789395596476,44270.175069838086,46507.56471032571
DE11,33311.253527616565,35079.342330749576,34828.90457049939,35273.09912,35241.44272334835,34971.575040992495,37603.95900256852,40024.564460800226,39717.13423315394,36223.452835562275,40059.237441662364,43564.55738540806,44803.226662848334,45716.813491243214,47165.98861128738,49609.75608539107,49619.73278014947,51983.62092566683,53859.03659302569,53335.38397525907,51367.56500553774,54485.082727589404
