NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
EL52,1828425,1846753,1852039,1862475,1871566,1880517,1890244,1899242,1905904,1913980,1921906,1925437,1922590,1912624,1903360,1893878,1883339,1880122,1875996,1873777,1872102,1858755
EL53,287156,286007,287813,288125,287800,287631,287215,286855,286696,286672,286450,285899,284061,281324,278706,276423,273843,271488,269222,267008,264670,262052
EL54,337513,339789,342332,342169,342123,342454,342916,343786,344410,345167,345960,346503,345437,343128,341046,339142,336834,335250,334337,333696,333265,330985
EL61,739421,739503,745339,743648,742574,741599,741765,743210,743919,745569,746976,747690,745839,741593,737686,733663,729442,725874,722065,718640,715115,709808
EL62,203658,205299,208075,207415,206877,206688,206703,207149,207508,208161,208675,209221,209131,208241,207664,207059,206141,205431,204562,203869,203149,202371
EL63,707200,706491,706346,703115,700215,697975,696051,694901,693549,692990,692269,690904,687935,682583,677727,673263,668258,663970,659470,655189,651065,646670
EL64,553882,556263,562848,559105,556835,555282,554659,555149,555577,557291,559655,561693,561670,560093,559214,557753,555830,555761,555623,555960,556002,553235
EL65,585638,588044,594637,590925,588214,586250,585107,585499,585892,587170,588471,589602,589044,586863,585155,583431,581026,579182,576749,574447,572151,569345
ES11,2702471,2698025,2696809,2705159,2711586,2720689,2730107,2741074,2754766,2767469,2772466,2773411,2771916,2760720,2745817,2732801,2719095,2708955,2703048,2700210,2702605,2698177
ES12,1068287,1064851,1062786,1062326,1062412,1062753,1063488,1065287,1071079,1076276,1077102,1075869,1074308,1067425,1058560,1049328,1040407,1033550,1027091,1021469,1018053,1012117
ES13,533417,534231,536286,541651,548014,554688,561042,568196,577267,584657,588512,590867,592383,589789,587491,585184,582494,581421,581533,581989,583011,584708
ES21,2084535,2082971,2082896,2092644,2103103,2115260,2127689,2142602,2159415,2174077,2179521,2183136,2184696,2179274,2172247,2172707,2174426,2179944,2187254,2197306,2211917,2212628
ES22,548379,552060,557456,567892,576346,584365,592137,602835,616710,627286,633023,637100,640014,639089,637099,637317,638922,642075,646340,652797,659907,662032
ES23,273828,275313,277989,284607,291082,298045,302703,308117,316197,319788,319934,320858,320951,318819,315736,314457,314025,314136,314890,315967,318703,319444
ES24,1200200,1202015,1209897,1225572,1237774,1255077,1273563,1294243,1325426,1342788,1344181,1344385,1343807,1337675,1330713,1325600,1318042,1315411,1313493,1320694,1330592,1331938
ES30,5329606,5379087,5478611,5638804,5766554,5866219,5953546,6075013,6226185,6327559,6373546,6394252,6425522,6411525,6372553,6375737,6411466,6459297,6529923,6618078,6720310,6726640
ES41,2472869,2463479,2454754,2463616,2471132,2482797,2494698,2514206,2541720,2549172,2547401,2545301,2537685,2516927,2493604,2475697,2452721,2433535,2417013,2405568,2398976,2385223
ES42,1742456,1752002,1763477,1797150,1833543,1874017,1917445,1971208,2031840,2066428,2084468,2099064,2105935,2093474,2074760,2062615,2049336,2041422,2034409,2036777,2047969,2052505
ES43,1060030,1059011,1057790,1060351,1064374,1070096,1074937,1081872,1089655,1094693,1099610,1102299,1104336,1101024,1096708,1092217,1086153,1079108,1072721,1067925,1064970,1061636
